ANIMALES DOMESTICOS,
kuchi,chancho
paku,perro
Mishi ,Gato 
Dude,pato
Masha,oveja
Chiguatu,chivo
kaguayu,caballo
guaju,conejo
Gualipa,gallina
turu,toro
guaca,vaca
bhuye,buey
COLORES,
utrhume,rojo
shepe,verde claro
urusi,azul
umianabhi,rosado
narasrhaji,anaranjado
sagua,verde claro
utrhu,colorado
dagua,amarillo
"sareme, sare sare ",plateado
pasati,cenizo
pada,blanco
iresi,morado
"sebheme, sebhe",negro
chiruchiru,"brilloso, choco"
nime urusi ,celeste
sambisambi,"gateado, pintado"
